id,title,content,link,type,image,tag,level
collection07,81-web.com,Webサイト制作に役立つ、日本の優れたWebデザイン・Webサイトギャラリー＆リンク集,https://81-web.com,web-collection,/images/resource/81-web,,
collection08,straightline,日本網站收集,http://bm.straightline.jp/,web-collection,/images/resource/straightline,,
collection09,One Page Love,"One Page Love is the leading showcase of beautiful One Page websites, templates and resources.",https://onepagelove.com/,web-collection,/images/resource/onepagelove,,
collection10,awwwards,"Awwwards are the Website Awards that recognize and promote the talent and effort of the best developers, designers and web agencies in the world.",,web-collection,/images/resource/awwwards,,
collection11,land-book,"At Land-book, you’ll find a great variety of different types of websites. No matter what project you’re working on, there’s always something that might inspire and encourage you to do even better stuff. :)

",https://land-book.com/,web-collection,/images/resource/land-book,,
collection12,siteinspire,Siteinspire is a showcase of the finest web and interactive design.,https://www.siteinspire.com/,web-collection,/images/resource/siteinspire,,
collection13,gdweb,韓國網站創意收集,https://www.gdweb.co.kr/main/,web-collection,/images/resource/gdweb,,
collection14,dbcut,韓國網站收集,https://www.dbcut.com/bbs/index.php,web-collection,/images/resource/dbcut,,
coolection15,Mobbin,收集來自各國和各種啟發性 APP 介面截圖,https://mobbin.com/browse/ios/apps,app-collection,/images/resource/mobbin,,
colection16,UI movement,以動畫的方式展示 APP 的操作與互動,https://screenlane.com/?ref=uimovement,app-collection,/images/resource/uimovement,,
collection17,collectui,收集各種 desgin pattern,https://collectui.com/,app-collection,/images/resource/collectui,,
collection18,tinyPng,"Smart WebP, PNG and JPEG compression",https://tinypng.com/,web-tool,/images/resource/tinypng,,
collection19,Magic Pattern,Beautiful pure CSS background patterns that you can actually use in your projects!,https://www.magicpattern.design/tools/css-backgrounds,web-tool,/images/resource/magicpattern,,
collection20,Artschooool 美感研究所,結合工具技術和思維；手腦並用到達心之所向 ▫️軟體教學 Ai.Ps.Ae.C4d ▫️設計思維/ 提升工作效率小技能,https://www.instagram.com/artschooool/,ig-collection,/images/resource/artschool,,
collection21,Out Of Design 圈外設計 TW,將複雜難懂的設計知識翻譯成白話文、做成懶人包,https://www.instagram.com/out_of_design/,ig-collection,/images/resource/outofdesign,,
collection22,設計游牧,Podacst【歐洲觀點】Fintech 與設計系統 🇸🇪 Patience：Paypal UX 設計師,https://designnomads.co/podcast/ep41-design-system-in-fintech,press-collection,/images/resource/designnomads,,
collection23,一塊設計,UIUX、美感養成、設計職涯 文章出品,https://apodesign.tw//,press-collection,/images/resource/apodesign,,
collection24,read_and_reframe,以書本閱讀心得分享，提升產品設計師價值與觀點,https://www.instagram.com/read_and_reframe/,ig-collection,/images/resource/read_and_reframe,,進階
collection25,Design Tips Today,"Design Tips for Today!
介紹 Prototyping, DesignOps 等相關的入門資源，藉由推廣知識/線上課程的方式，讓更多人了解並導入設計流程中",https://www.facebook.com/designtipstoday,press-collection,/images/resource/designtipstoday,,
collection26,designtips.today,分享你所不知的 Figma 小知識、了解軟體產品中蘊含的設計概念、認識有趣的台灣產品愛好者,https://www.instagram.com/designtips.today/,ig-collection,/images/resource/designtipstodayIg,Figma,進階
collection27,每日e錠, 社群行銷x 商業設計 x UX設計,https://www.instagram.com/daydayding/,ig-collection,/images/resource/daydayding,,
collection28,UX Stone,關鍵字 #uiux #產品設計 #使用者經驗 #介面設計 #心理學 #成長駭客 #數據驅動設計 #職涯 #自學,https://www.instagram.com/uiux.stone/,ig-collection,/images/resource/stone,UX,進階
collection29,lenaaaa.design,UI/UX設計職涯、生涯規劃&自我成長,https://www.instagram.com/lenaaaa.design/,ig-collection,/images/resource/lenaaaa,,
collection30,設事未深,每天學一點，做出美圖離你不遠！,https://www.instagram.com/designnotdeep/,ig-collection,/images/resource/designnotdeep,,
collection31,deerlight,"I’m Jhane, a Taiwan freelance UI/UX designer,
digital creator and Deerlight founder.",https://deerlight.design/,portfolio,/images/resource/deerlight,,
collection32,Simon Lin,"擁有 7 年以上專業經驗的使用者體驗/產品設計師。
創造 讓人感到愉悅 並且能 解決現實生活問題的解決方案",https://www.simonlin.design/tw/home,portfolio,/images/resource/simonlin,,
collection33,Jasmine Lin,Jasmine Lin is a Seattle-based user experience designer currently working at Google.,https://hellojasminelin.com/,portfolio,/images/resource/hellojasminelin,,
collection34,Nien-Hua Gu,為荷蘭 Bloomreach 資深產品設計師,https://gudesign.nl/,portfolio,/images/resource/gudesign,,
